step,x(t+1),p(t+1)
1,2.0,0.509655773639679
2,2.0,0.4606902003288269
3,2.0,0.4166211783885956
4,2.0,0.37695905566215515
5,2.0,0.34126314520835876
6,2.0,0.3091368079185486
7,2.0,0.28022313117980957
8,2.0,0.25420081615448
9,2.0,0.2307807356119156
10,2.0,0.20970267057418823
11,2.0,0.19073238968849182
12,2.0,0.17365914583206177
13,2.0,0.1582932323217392
14,2.0,0.144463911652565
15,2.0,0.13201752305030823
16,2.0,0.12081576883792877
17,2.0,0.11073419451713562
18,2.0,0.10166077315807343
19,2.0,0.09349469840526581
20,2.0,0.08614523708820343
21,2.0,0.07953070104122162
22,2.0,0.0735776275396347
23,2.0,0.068219855427742
24,2.0,0.0633978620171547
25,2.0,0.05905807018280029
26,2.0,0.05515225976705551
27,2.0,0.05163702368736267
28,2.0,0.04847331345081329
29,2.0,0.04562597721815109
30,2.0,0.043063387274742126
31,2.0,0.04075704887509346
32,2.0,0.03868133947253227
33,2.0,0.036813195794820786
34,2.0,0.03513187915086746
35,2.0,0.033618684858083725
36,2.0,0.03225680813193321
37,2.0,0.031031116843223572
38,2.0,0.029928002506494522
39,2.0,0.028935199603438377
40,2.0,0.028041673824191093
41,2.0,0.02723749727010727
42,2.0,0.02651374414563179
43,2.0,0.025862375274300575
44,2.0,0.025276141241192818
45,2.0,0.02474852092564106
46,2.0,0.02427365817129612
47,2.0,0.02384628728032112
48,2.0,0.023461660370230675
49,2.0,0.023115485906600952
50,2.0,0.022803930565714836
